"data_execucao","versao_potigol","diretorio","casos","aprovados","falhas","taxa_aprovacao"
"2026-05-30T15:28:22.919Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1000","153","85","68","55.56"
"2026-05-30T21:22:39.905Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1000","153","85","68","55.56"
"2026-05-30T21:34:46.764Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1100","73","8","65","10.96"
"2026-05-30T21:51:00.321Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1200","50","0","50","0"
"2026-05-30T22:06:03.755Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1300","21","0","21","0"
"2026-05-30T22:09:31.582Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1400","17","0","17","0"
"2026-05-30T22:36:20.973Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/1500","33","2","31","6.06"
"2026-05-30T22:39:42.527Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/3400","30","8","22","26.67"
"2026-05-30T22:42:32.311Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/3300","27","8","19","29.63"
"2026-05-30T22:45:06.908Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/3200","20","1","19","5"
"2026-05-30T22:49:39.729Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/3100","46","6","40","13.04"
"2026-05-30T22:52:47.895Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/3000","33","3","30","9.09"
"2026-05-30T22:56:50.914Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2900","31","4","27","12.9"
"2026-05-30T23:19:51.319Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2700","48","14","34","29.17"
"2026-05-30T23:22:42.662Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2800","35","6","29","17.14"
"2026-05-30T23:34:13.657Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2600","25","1","24","4"
"2026-05-30T23:39:52.730Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2500","36","0","36","0"
"2026-05-30T23:47:36.178Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2400","47","8","39","17.02"
"2026-05-30T23:57:00.805Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2300","38","8","30","21.05"
"2026-05-31T00:04:34.440Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2200","22","4","18","18.18"
"2026-05-31T00:11:01.537Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2100","38","5","33","13.16"
"2026-05-31T00:14:25.231Z","0.11.8","/workspaces/potigol/recursos/fontes/beecrowd/src/2000","18","1","17","5.56"
"2026-06-01T15:45:06.898Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1900","28","6","22","21.43"
"2026-06-01T15:49:01.054Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1800","29","3","26","10.34"
"2026-06-01T15:52:21.286Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1700","21","2","19","9.52"
"2026-06-01T15:55:04.563Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1600","10","0","10","0"
"2026-06-01T22:05:16.425Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1000","153","87","66","56.86"
"2026-06-02T18:32:30.493Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1000","153","91","62","59.48"
"2026-06-02T18:43:40.919Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1100","73","5","68","6.85"
"2026-06-02T18:50:37.429Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1200","50","1","49","2"
"2026-06-03T13:31:49.811Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1000","153","95","58","62.09"
"2026-06-03T14:41:06.973Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1100","73","11","62","15.07"
"2026-06-03T14:54:18.015Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1200","50","1","49","2"
"2026-06-03T15:09:37.509Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1300","21","1","20","4.76"
"2026-06-03T15:33:55.945Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1400","17","0","17","0"
"2026-06-03T15:43:50.053Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1500","33","4","29","12.12"
"2026-06-03T15:49:36.269Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1600","10","1","9","10"
"2026-06-03T16:51:05.384Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1700","21","4","17","19.05"
"2026-06-03T17:03:33.666Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1800","29","6","23","20.69"
"2026-06-03T17:05:57.153Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/1900","28","11","17","39.29"
"2026-06-03T17:16:49.455Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2000","18","5","13","27.78"
"2026-06-03T17:22:48.261Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2100","38","8","30","21.05"
"2026-06-03T17:26:23.917Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2200","22","8","14","36.36"
"2026-06-03T17:29:18.721Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2300","38","12","26","31.58"
"2026-06-03T17:56:17.386Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2400","47","7","40","14.89"
"2026-06-03T18:47:46.414Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2500","36","4","32","11.11"
"2026-06-03T19:06:31.463Z","0.11.9","/workspaces/potigol/recursos/fontes/beecrowd/src/2600","25","1","24","4"
